date,CRU_anom,,1850-1900
1806.125,0.000,0.000,0.000
1806.209,0.000,0.000,0.000
1806.292,0.000,0.000,0.000
1806.375,0.000,0.000,0.000
1806.459,0.000,0.000,0.000
1806.542,0.000,0.000,0.000
1806.625,0.000,0.000,0.000
1806.709,0.000,0.000,0.000
1806.792,0.000,0.000,0.000
1806.875,0.000,0.000,0.000
1806.959,0.000,0.000,0.000
1807.042,0.000,0.000,0.000
1807.125,0.000,0.000,0.000
1807.209,0.000,0.000,0.000
1807.292,0.000,0.000,0.000
1807.375,0.000,0.000,0.000
1807.459,0.000,0.000,0.000
1807.542,0.000,0.000,0.000
1807.625,0.000,0.000,0.000
1807.709,0.000,0.000,0.000
1807.792,0.000,0.000,0.000
1807.875,0.000,0.000,0.000
1807.959,0.000,0.000,0.000
1808.042,0.000,0.000,0.000
1808.125,0.000,0.000,0.000
1808.209,0.000,0.000,0.000
1808.292,0.000,0.000,0.000
1808.375,0.000,0.000,0.000
1808.459,0.000,0.000,0.000
1808.542,0.000,0.000,0.000
1808.625,0.000,0.000,0.000
1808.709,0.000,0.000,0.000
1808.792,0.000,0.000,0.000
1808.875,0.000,0.000,0.000
1808.959,0.000,0.000,0.000
1809.042,0.000,0.000,0.000
1809.125,0.000,0.000,0.000
1809.209,0.000,0.000,0.000
1809.292,0.000,0.000,0.000
1809.375,0.000,0.000,0.000
1809.459,0.000,0.000,0.000
1809.542,0.000,0.000,0.000
1809.625,0.000,0.000,0.000
1809.709,0.000,0.000,0.000
1809.792,0.000,0.000,0.000
1809.875,0.000,0.000,0.000
1809.959,0.000,0.000,0.000
1810.042,0.000,0.000,0.000
1810.125,0.000,0.000,0.000
1810.209,0.000,0.000,0.000
1810.292,0.000,0.000,0.000
1810.375,0.000,0.000,0.000
1810.459,0.000,0.000,0.000
1810.542,0.000,0.000,0.000
1810.625,0.000,0.000,0.000
1810.709,0.000,0.000,0.000
1810.792,0.000,0.000,0.000
1810.875,0.000,0.000,0.000
1810.959,0.000,0.000,0.000
1811.042,0.000,0.000,0.000
1811.125,0.000,0.000,0.000
1811.209,0.000,0.000,0.000
1811.292,0.000,0.000,0.000
1811.375,0.000,0.000,0.000
1811.459,0.000,0.000,0.000
1811.542,0.000,0.000,0.000
1811.625,0.000,0.000,0.000
1811.709,0.000,0.000,0.000
1811.792,0.000,0.000,0.000
1811.875,0.000,0.000,0.000
1811.959,0.000,0.000,0.000
1812.042,0.000,0.000,0.000
1812.125,0.000,0.000,0.000
1812.209,0.000,0.000,0.000
1812.292,0.000,0.000,0.000
1812.375,0.000,0.000,0.000
1812.459,0.000,0.000,0.000
1812.542,0.000,0.000,0.000
1812.625,0.000,0.000,0.000
1812.709,0.000,0.000,0.000
1812.792,0.000,0.000,0.000
1812.875,0.000,0.000,0.000
1812.959,0.000,0.000,0.000
1813.042,0.000,0.000,0.000
1813.125,0.000,0.000,0.000
1813.209,0.000,0.000,0.000
1813.292,0.000,0.000,0.000
1813.375,0.000,0.000,0.000
1813.459,0.000,0.000,0.000
1813.542,0.000,0.000,0.000
1813.625,0.000,0.000,0.000
1813.709,0.000,0.000,0.000
1813.792,0.000,0.000,0.000
1813.875,0.000,0.000,0.000
1813.959,0.000,0.000,0.000
1814.042,0.000,0.000,0.000
1814.125,0.000,0.000,0.000
1814.209,0.000,0.000,0.000
1814.292,0.000,0.000,0.000
1814.375,0.000,0.000,0.000
1814.459,0.000,0.000,0.000
1814.542,0.000,0.000,0.000
1814.625,0.000,0.000,0.000
1814.709,0.000,0.000,0.000
1814.792,0.000,0.000,0.000
1814.875,0.000,0.000,0.000
1814.959,0.000,0.000,0.000
1815.042,0.000,0.000,0.000
1815.125,0.000,0.000,0.000
1815.209,0.000,0.000,0.000
1815.292,0.000,0.000,0.000
1815.375,0.000,0.000,0.000
1815.459,0.000,0.000,0.000
1815.542,0.000,0.000,0.000
1815.625,0.000,0.000,0.000
1815.709,0.000,0.000,0.000
1815.792,0.000,0.000,0.000
1815.875,0.000,0.000,0.000
1815.959,0.000,0.000,0.000
1816.042,0.000,0.000,0.000
1816.125,0.000,0.000,0.000
1816.209,0.000,0.000,0.000
1816.292,0.000,0.000,0.000
1816.375,0.000,0.000,0.000
1816.459,0.000,0.000,0.000
1816.542,0.000,0.000,0.000
1816.625,0.000,0.000,0.000
1816.709,0.000,0.000,0.000
1816.792,0.000,0.000,0.000
1816.875,0.000,0.000,0.000
1816.959,0.000,0.000,0.000
1817.042,0.000,0.000,0.000
1817.125,0.000,0.000,0.000
1817.209,0.000,0.000,0.000
1817.292,0.000,0.000,0.000
1817.375,0.000,0.000,0.000
1817.459,0.000,0.000,0.000
1817.542,0.000,0.000,0.000
1817.625,0.000,0.000,0.000
1817.709,0.000,0.000,0.000
1817.792,0.000,0.000,0.000
1817.875,0.000,0.000,0.000
1817.959,0.000,0.000,0.000
1818.042,0.000,0.000,0.000
1818.125,0.000,0.000,0.000
1818.209,0.000,0.000,0.000
