time,MCrun,prate,air
752,12,7.012124919986775e-07,-0.3778369973529092
752,13,6.306480615232805e-07,-0.2475959270770618
752,14,-6.950898887364683e-07,-0.1718659850862648
752,15,-9.786731472957574e-07,-0.7281315498262593
752,16,-1.594196547547333e-06,-0.24186371259487455
752,17,-1.453296615014562e-06,-0.38587283260911337
752,18,-3.7905750271468516e-07,-0.3667206809173315
752,19,-1.0023325087659995e-06,-0.4178624195051841
753,0,3.3273226041931634e-07,-0.2632141669323933
753,1,5.56941272793875e-07,-0.22672778561119733
753,2,-5.361148280608418e-07,-0.18587955266481976
753,3,-5.60686244454966e-07,-0.08915920907830913
753,4,2.1809202272263572e-07,-0.2025053649171905
753,5,1.412089451034245e-06,-0.21490277502113386
753,6,8.767668392762719e-08,-0.432327124044207
753,7,2.904917532037411e-07,-0.18852743388292317
753,8,1.0045777255821897e-06,-0.1972464130568252
753,9,4.610566605393111e-07,-0.23988391369981432
753,10,9.548385951453474e-08,-0.09626728205411447
753,11,-1.2880263945692529e-07,-0.12889769936138123
753,12,1.3892750338858537e-06,-0.16518432259473628
753,13,2.0168717757107232e-06,-0.19965646476938245
753,14,-6.960510528677924e-07,-0.046278987367873226
753,15,-6.114723147693051e-07,-0.3294697995304892
753,16,-4.869279483039678e-07,-0.09674876046240047
753,17,-9.409634096613391e-07,-0.22423021807672758
753,18,1.31752687540662e-07,-0.10474743374952054
753,19,-1.9124131641334495e-07,-0.21298984786280328
754,0,-6.67360839710993e-08,-0.5458715300816033
754,1,4.225195613727742e-08,-0.4874637315879633
754,2,2.941474287667666e-07,-0.5489918455077614
754,3,-5.588693708581937e-07,-0.35677377559614387
