t,T,P,edge,bal,ela,area
122.0,2.1058460833950052,5.0,11300.0,-10199822.79246594,1181.0858640245692,19102659.96130597
123.0,2.9692867615149305,5.0,11300.0,-20941403.206702694,1311.1804395387946,19102659.96130597
124.0,1.1423462222049627,5.0,11250.0,1829124.2071996043,1026.4459914259694,19072659.96130597
125.0,2.0226809878772274,5.0,11250.0,-9110497.77827582,1169.2727086073726,19072659.96130597
126.0,1.519622917215238,5.0,11250.0,-2899454.2110932656,1090.9114389560484,19072659.96130597
127.0,1.7012310596408762,5.0,11250.0,-5176538.550314169,1112.2980176384935,19072659.96130597
128.0,1.7571107830350128,5.0,11200.0,-5772305.540252313,1124.8377434648182,19042659.96130597
129.0,2.6639152857596917,5.0,11200.0,-17020871.292752568,1267.3459980025395,19042659.96130597
130.0,0.7694551879753115,5.0,11200.0,6401887.681103056,977.0909214197815,19042659.96130597
131.0,0.14852919230769768,5.0,11200.0,14060993.237014724,879.567409132392,19042659.96130597
132.0,1.8882729013684623,5.0,11150.0,-7369169.750739123,1148.0097474168676,19012659.96130597
133.0,2.966539717765934,5.0,11150.0,-20710705.03805679,1310.8741657129478,19012659.96130597
134.0,1.699264028119571,5.0,11150.0,-5068374.67096222,1124.1523480406593,19012659.96130597
135.0,1.2423587515933514,5.0,11150.0,555684.3635440655,1046.966746700326,19012659.96130597
136.0,1.4371162590692448,5.0,11100.0,-1757285.9714449123,1079.008871258326,18982659.96130597
137.0,2.518405105811653,5.0,11100.0,-15119021.244820423,1247.7670131129819,18982659.96130597
138.0,1.0263227933020387,5.0,11100.0,3270274.5158515694,1014.9987632885835,18982659.96130597
139.0,1.9613136268094022,5.0,11050.0,-8162116.611724403,1158.7231043550698,18952659.96130597
140.0,1.958639736934269,5.0,11050.0,-8149574.721061684,1158.4797756183573,18952659.96130597
141.0,1.0932872459248992,5.0,11000.0,2597767.6838090913,1023.4401985352563,18922659.96130597
142.0,0.8190766754236192,5.0,11000.0,5949929.950858744,985.4108520301212,18922659.96130597
143.0,0.33034296101741933,5.0,11000.0,11944094.910718553,909.8560753385894,18922659.96130597
144.0,2.182844473227493,5.0,11000.0,-10852742.516254418,1192.5799301123236,18922659.96130597
145.0,1.2108390112969891,5.0,10950.0,1204779.4626582665,1047.2908380930078,18892659.96130597
146.0,0.3314867466548721,5.0,10950.0,11994365.073858669,910.1033545139397,18892659.96130597
147.0,1.601385655100441,5.0,10900.0,-3487573.1384790186,1102.7858597614666,18862659.96130597
148.0,1.0613362321352016,5.0,10900.0,3131775.536214511,1025.4914358531198,18862659.96130597
149.0,1.9300919014853912,5.0,10900.0,-7521119.211820022,1155.6042864241367,18862659.96130597
150.0,2.283282239064788,5.0,10850.0,-11721671.102209397,1210.7814772165973,18832659.96130597
151.0,2.2570754075368678,5.0,10850.0,-11405849.780287504,1206.0299104989938,18832659.96130597
152.0,1.8766739653258488,5.0,10800.0,-6635746.288655064,1147.4593692175188,18802659.96130597
153.0,1.834333227749613,5.0,10800.0,-6131079.222939042,1141.3432209186092,18802659.96130597
154.0,2.205127685261483,5.0,10750.0,-10548345.952751461,1195.965483780281,18772659.96130597
155.0,-0.07668764932299599,5.0,10750.0,17278055.836473785,846.1991508063969,18772659.96130597
156.0,2.0336227015244868,5.0,10750.0,-8487261.890864253,1169.3791025216449,18772659.96130597
157.0,1.4760485048914758,5.0,10700.0,-1579565.789284815,1079.360297591194,18742659.96130597
158.0,1.4404829659887488,5.0,10700.0,-1157682.0698461672,1079.418382952995,18742659.96130597
159.0,0.9455603895558129,5.0,10650.0,4966086.646720607,1002.327312799188,18712659.96130597
160.0,2.2902639823745785,5.0,10650.0,-11398435.42756801,1210.500155182657,18712659.96130597
161.0,2.8936541509094775,5.0,10600.0,-18603192.557181224,1305.390850385786,18682659.96130597
